iter	Passed	Remaining
0	161	161662
1	167	83386
2	169	56250
3	170	42484
4	172	34250
5	175	29036
6	176	25073
7	178	22091
8	179	19797
9	181	17929
10	182	16396
11	183	15126
12	185	14047
13	188	13242
14	190	12486
15	191	11782
16	193	11187
17	197	10759
18	198	10252
19	200	9807
20	203	9500
21	205	9138
22	207	8800
23	208	8479
24	209	8180
25	212	7954
26	214	7720
27	215	7482
28	219	7348
29	223	7228
30	225	7039
31	226	6854
32	228	6685
33	229	6519
34	233	6445
35	237	6360
36	238	6216
37	240	6084
38	245	6042
39	250	6016
40	253	5936
41	255	5829
42	257	5725
43	258	5617
44	259	5512
45	260	5411
46	265	5374
47	266	5282
48	267	5192
49	268	5106
50	270	5031
51	271	4951
52	272	4875
53	274	4800
54	275	4730
55	278	4701
56	280	4637
57	281	4572
58	282	4510
59	284	4453
60	285	4395
61	286	4338
62	287	4282
63	289	4232
64	290	4182
65	295	4178
66	297	4140
67	298	4097
68	300	4052
69	302	4021
70	305	3995
71	310	3998
72	314	3987
73	316	3957
74	317	3917
75	318	3878
76	320	3840
77	326	3858
78	329	3836
79	330	3799
80	331	3761
81	332	3727
82	334	3692
83	335	3663
84	341	3673
85	342	3642
86	344	3618
87	346	3592
88	347	3560
89	349	3529
90	350	3500
91	356	3515
92	358	3495
93	359	3466
94	360	3437
95	362	3410
96	376	3504
97	379	3492
98	382	3480
99	391	3519
100	392	3495
101	394	3471
102	396	3448
103	397	3425
104	401	3421
105	403	3400
106	404	3375
107	405	3351
108	407	3327
109	409	3316
110	411	3294
111	412	3270
112	416	3272
113	418	3250
114	419	3229
115	421	3208
116	422	3187
117	423	3167
118	425	3146
119	426	3127
120	431	3131
121	432	3109
122	433	3089
123	434	3070
124	435	3050
125	437	3031
126	437	3010
127	439	2991
128	442	2986
129	446	2987
130	448	2972
131	449	2955
132	450	2938
133	452	2923
134	453	2907
135	455	2891
136	458	2888
137	460	2874
138	461	2857
139	462	2841
140	463	2825
141	464	2807
142	466	2793
143	467	2779
144	468	2764
145	470	2750
146	473	2749
147	475	2737
148	476	2723
149	478	2709
150	479	2696
151	481	2684
152	482	2673
153	484	2660
154	489	2668
155	491	2657
156	493	2647
157	495	2641
158	497	2632
159	499	2622
160	501	2611
161	503	2603
162	504	2592
163	506	2581
164	507	2570
165	509	2560
166	511	2550
167	512	2539
168	514	2529
169	519	2534
170	520	2523
171	522	2514
172	524	2506
173	525	2496
174	533	2515
175	536	2511
176	538	2505
177	540	2495
178	541	2485
179	543	2475
180	545	2466
181	549	2470
182	551	2462
183	553	2453
184	554	2443
185	556	2435
186	558	2428
187	560	2422
188	564	2420
189	565	2412
190	567	2402
191	568	2394
192	570	2387
193	572	2378
194	573	2369
195	578	2372
196	579	2363
197	581	2353
198	582	2344
199	583	2334
200	585	2326
201	586	2318
202	588	2308
203	589	2299
204	593	2302
205	595	2293
206	596	2284
207	597	2276
208	599	2269
209	601	2261
210	602	2252
211	603	2243
212	608	2246
213	609	2238
214	610	2230
215	612	2222
216	614	2215
217	615	2209
218	617	2200
219	618	2192
220	620	2186
221	623	2185
222	625	2177
223	626	2170
224	628	2164
225	630	2159
226	632	2153
227	633	2146
228	637	2146
229	639	2139
230	640	2131
231	641	2124
232	643	2118
233	645	2112
234	646	2104
235	647	2097
236	649	2089
237	653	2092
238	654	2085
239	656	2078
240	657	2071
241	659	2065
242	661	2059
243	662	2053
244	664	2046
245	667	2046
246	669	2039
247	670	2032
248	671	2025
249	672	2018
250	674	2011
251	675	2004
252	676	1997
253	677	1990
254	679	1983
255	682	1984
256	683	1977
257	685	1970
258	686	1963
259	687	1957
260	688	1950
261	690	1944
262	691	1938
263	692	1931
264	695	1930
265	697	1925
266	699	1919
267	700	1913
268	701	1907
269	703	1901
270	704	1895
271	705	1889
272	707	1883
273	709	1879
274	711	1876
275	713	1870
276	714	1864
277	716	1859
278	717	1854
279	718	1848
280	720	1842
281	721	1836
282	722	1830
283	726	1830
284	727	1825
285	728	1819
286	730	1813
287	731	1809
288	733	1803
289	734	1797
290	735	1792
291	736	1786
292	738	1782
293	740	1778
294	742	1774
295	743	1769
296	745	1763
297	746	1758
298	748	1753
299	749	1748
300	750	1743
301	751	1737
302	754	1736
303	756	1732
304	757	1727
305	759	1721
306	760	1717
307	762	1712
308	763	1706
309	764	1701
310	765	1696
311	766	1691
312	770	1690
313	771	1685
314	772	1680
315	774	1676
316	776	1672
317	778	1669
318	779	1664
319	781	1659
320	782	1655
321	784	1652
322	785	1647
323	787	1642
324	788	1637
325	789	1632
326	790	1627
327	792	1623
328	793	1618
329	797	1618
330	799	1615
331	800	1610
332	801	1605
333	802	1601
334	804	1596
335	805	1591
336	806	1587
337	807	1582
338	809	1577
339	813	1579
340	814	1574
341	816	1570
342	817	1566
343	818	1561
344	820	1556
345	821	1552
346	822	1547
347	823	1543
348	827	1543
349	828	1539
350	830	1535
351	831	1531
352	832	1526
353	834	1521
354	835	1517
355	836	1513
356	839	1511
357	842	1510
358	844	1508
359	846	1504
360	848	1501
361	849	1498
362	851	1494
363	853	1490
364	854	1486
365	857	1484
366	858	1480
367	859	1476
368	861	1472
369	862	1468
370	863	1463
371	864	1459
372	865	1455
373	867	1451
374	868	1447
375	872	1447
376	873	1443
377	874	1439
378	875	1435
379	877	1431
380	878	1427
381	879	1423
382	880	1419
383	882	1416
384	886	1416
385	887	1412
386	888	1408
387	890	1404
388	891	1400
389	892	1396
390	894	1392
391	895	1388
392	896	1385
393	898	1382
394	901	1380
395	902	1377
396	904	1373
397	905	1369
398	906	1366
399	908	1362
400	909	1358
401	910	1354
402	911	1350
403	916	1351
404	918	1348
405	919	1345
406	920	1341
407	921	1337
408	922	1333
409	924	1329
410	925	1326
411	926	1322
412	929	1320
413	931	1318
414	932	1315
415	934	1311
416	935	1307
417	937	1305
418	939	1302
419	940	1298
420	941	1295
421	945	1295
422	947	1292
423	948	1288
424	950	1285
425	951	1282
426	952	1278
427	954	1275
428	955	1271
429	956	1268
430	960	1267
431	961	1264
432	963	1261
433	964	1258
434	966	1255
435	967	1251
436	969	1249
437	971	1245
438	974	1245
439	976	1242
440	979	1241
441	980	1238
442	982	1235
443	983	1231
444	984	1228
445	985	1224
446	987	1221
447	990	1219
448	991	1216
449	992	1213
450	993	1209
451	995	1206
452	996	1203
453	997	1200
454	999	1196
455	1000	1193
456	1001	1190
457	1004	1189
458	1006	1186
459	1007	1182
460	1008	1179
461	1009	1175
462	1011	1172
463	1012	1169
464	1013	1166
465	1014	1162
466	1015	1159
467	1020	1159
468	1021	1156
469	1023	1153
470	1024	1150
471	1025	1147
472	1027	1144
473	1028	1141
474	1029	1138
475	1030	1134
476	1034	1134
477	1036	1131
478	1038	1129
479	1039	1126
480	1041	1123
481	1043	1121
482	1044	1118
483	1045	1115
484	1048	1113
485	1050	1110
486	1051	1107
487	1052	1104
488	1053	1101
489	1055	1098
490	1056	1095
491	1057	1091
492	1058	1088
493	1059	1085
494	1063	1085
495	1064	1082
496	1066	1078
497	1067	1075
498	1068	1072
499	1069	1069
500	1071	1066
501	1072	1063
502	1073	1060
503	1074	1057
504	1078	1057
505	1079	1054
506	1081	1051
507	1082	1048
508	1083	1045
509	1085	1042
510	1088	1041
511	1089	1038
512	1093	1038
513	1094	1035
